date,state,positive
7/26/20,NY,411736
7/25/20,NY,411200
7/24/20,NY,410450
7/23/20,NY,409697
7/22/20,NY,408886
7/21/20,NY,408181
7/20/20,NY,407326
7/19/20,NY,406807
7/18/20,NY,406305
7/17/20,NY,405551
7/16/20,NY,404775
7/15/20,NY,404006
7/14/20,NY,403175
7/13/20,NY,402263
7/12/20,NY,401706
7/11/20,NY,401029
7/10/20,NY,400299
7/9/20,NY,399513
7/8/20,NY,398929
7/7/20,NY,398237
7/6/20,NY,397649
7/5/20,NY,397131
7/4/20,NY,396598
7/3/20,NY,395872
7/2/20,NY,394954
7/1/20,NY,394079
6/30/20,NY,393454
6/29/20,NY,392930
6/28/20,NY,392539
6/27/20,NY,391923
6/26/20,NY,391220
6/25/20,NY,390415
6/24/20,NY,389666
6/23/20,NY,389085
6/22/20,NY,388488
6/21/20,NY,387936
6/20/20,NY,387272
6/19/20,NY,386556
6/18/20,NY,385760
6/17/20,NY,385142
6/16/20,NY,384575
6/15/20,NY,383944
6/14/20,NY,383324
6/13/20,NY,382630
6/12/20,NY,381714
6/11/20,NY,380892
6/10/20,NY,380156
6/9/20,NY,379482
6/8/20,NY,378799
6/7/20,NY,378097
6/6/20,NY,377316
6/5/20,NY,376208
6/4/20,NY,375133
6/3/20,NY,374085
6/2/20,NY,373040
6/1/20,NY,371711
5/31/20,NY,370770
5/30/20,NY,369660
5/29/20,NY,368284
5/28/20,NY,366733
5/27/20,NY,364965
5/26/20,NY,363836
5/25/20,NY,362764
5/24/20,NY,361515
5/23/20,NY,359926
5/22/20,NY,358154
5/21/20,NY,356458
5/20/20,NY,354370
5/19/20,NY,352845
5/18/20,NY,351371
5/17/20,NY,350121
5/16/20,NY,348232
5/15/20,NY,345813
5/14/20,NY,343051
5/13/20,NY,340661
5/12/20,NY,338485
5/11/20,NY,337055
5/10/20,NY,335395
5/9/20,NY,333122
5/8/20,NY,330407
5/7/20,NY,327469
5/6/20,NY,323978
5/5/20,NY,321192
5/4/20,NY,318953
5/3/20,NY,316415
5/2/20,NY,312977
5/1/20,NY,308314
4/30/20,NY,304372
4/29/20,NY,299691
4/28/20,NY,295106
4/27/20,NY,291996
4/26/20,NY,288045
4/25/20,NY,282143
4/24/20,NY,271590
4/23/20,NY,263460
4/22/20,NY,257216
4/21/20,NY,251690
4/20/20,NY,247512
4/19/20,NY,242786
4/18/20,NY,236732
4/17/20,NY,229642
4/16/20,NY,222284
4/15/20,NY,213779
4/14/20,NY,202208
4/13/20,NY,195031
4/12/20,NY,188694
4/11/20,NY,180458
4/10/20,NY,170512
4/9/20,NY,159937
4/8/20,NY,149316
4/7/20,NY,138863
4/6/20,NY,130689
4/5/20,NY,122031
4/4/20,NY,113704
4/3/20,NY,102863
4/2/20,NY,92381
4/1/20,NY,83712
3/31/20,NY,75795
3/30/20,NY,66497
3/29/20,NY,59513
3/28/20,NY,52318
3/27/20,NY,44637
3/26/20,NY,37258
3/25/20,NY,30810
3/24/20,NY,25665
3/23/20,NY,20875
3/22/20,NY,15168
3/21/20,NY,10356
3/20/20,NY,7102
3/19/20,NY,4152
3/18/20,NY,2383
3/17/20,NY,1374
3/16/20,NY,942
3/15/20,NY,648
3/14/20,NY,517
3/13/20,NY,353
3/12/20,NY,251
3/11/20,NY,195
3/10/20,NY,151
3/9/20,NY,88
3/8/20,NY,60
3/7/20,NY,36
3/6/20,NY,25
3/5/20,NY,3
3/4/20,NY,1
3/3/20,NY,1
3/2/20,NY,0
